InvoiceNo,DateKey,CustomerID,ProductKey,CountryKey,Quantity,UnitPrice,Revenue
536365,20101201,17850,3350,1,6,2.55,15.299999999999999
536365,20101201,17850,2426,1,6,3.39,20.34
536365,20101201,17850,3115,1,8,2.75,22.0
536365,20101201,17850,3085,1,6,3.39,20.34
536365,20101201,17850,3084,1,6,3.39,20.34
536365,20101201,17850,1532,1,2,7.65,15.3
536365,20101201,17850,682,1,6,4.25,25.5
536366,20101201,17850,1417,1,6,1.85,11.100000000000001
536366,20101201,17850,1416,1,6,1.85,11.100000000000001
536367,20101201,13047,2603,1,32,1.69,54.08
536367,20101201,13047,1525,1,6,2.1,12.600000000000001
536367,20101201,13047,1528,1,6,2.1,12.600000000000001
536367,20101201,13047,1529,1,8,3.75,30.0
536367,20101201,13047,1118,1,6,1.65,9.899999999999999
536367,20101201,13047,2624,1,6,4.25,25.5
536367,20101201,13047,1407,1,3,4.95,14.850000000000001
536367,20101201,13047,1406,1,2,9.95,19.9
536367,20101201,13047,698,1,3,5.95,17.85
536367,20101201,13047,699,1,3,5.95,17.85
536367,20101201,13047,710,1,4,7.95,31.8
536367,20101201,13047,2417,1,4,7.95,31.8
536368,20101201,13047,1732,1,6,4.25,25.5
536368,20101201,13047,1686,1,3,4.95,14.850000000000001
536368,20101201,13047,1685,1,3,4.95,14.850000000000001
536368,20101201,13047,1687,1,3,4.95,14.850000000000001
536369,20101201,13047,700,1,3,5.95,17.85
536370,20101201,12583,1508,2,24,3.75,90.0
536370,20101201,12583,1507,2,24,3.75,90.0
536370,20101201,12583,1506,2,12,3.75,45.0
536370,20101201,12583,679,2,12,0.85,10.2
536370,20101201,12583,781,2,24,0.65,15.600000000000001
536370,20101201,12583,1,2,48,0.85,40.8
536370,20101201,12583,719,2,24,1.25,30.0
536370,20101201,12583,246,2,18,2.95,53.1
536370,20101201,12583,1134,2,24,2.95,70.80000000000001
536370,20101201,12583,1413,2,24,1.95,46.8
536370,20101201,12583,1440,2,24,1.95,46.8
536370,20101201,12583,1415,2,24,1.95,46.8
536370,20101201,12583,1442,2,20,0.85,17.0
536370,20101201,12583,683,2,24,1.65,39.599999999999994
536370,20101201,12583,1674,2,24,2.95,70.80000000000001
536370,20101201,12583,806,2,12,3.75,45.0
536370,20101201,12583,1328,2,24,0.42,10.08
536370,20101201,12583,1331,2,24,0.42,10.08
536370,20101201,12583,1283,2,36,0.65,23.400000000000002
536370,20101201,12583,3665,2,3,18.0,54.0
536371,20101201,13748,916,1,80,2.55,204.0
536372,20101201,17850,1416,1,6,1.85,11.100000000000001
536372,20101201,17850,1417,1,6,1.85,11.100000000000001
536373,20101201,17850,3350,1,6,2.55,15.299999999999999
536373,20101201,17850,2426,1,6,3.39,20.34
536373,20101201,17850,3115,1,8,2.75,22.0
536373,20101201,17850,73,1,6,4.95,29.700000000000003
536373,20101201,17850,2370,1,6,1.06,6.36
536373,20101201,17850,769,1,6,1.06,6.36
536373,20101201,17850,270,1,6,1.06,6.36
536373,20101201,17850,267,1,6,1.06,6.36
536373,20101201,17850,2479,1,2,4.95,9.9
536373,20101201,17850,2481,1,4,6.95,27.8
536373,20101201,17850,2478,1,6,2.1,12.600000000000001
536373,20101201,17850,3077,1,6,2.55,15.299999999999999
536373,20101201,17850,3085,1,6,3.39,20.34
536373,20101201,17850,3084,1,6,3.39,20.34
536373,20101201,17850,1532,1,2,7.65,15.3
536373,20101201,17850,682,1,6,4.25,25.5
536374,20101201,15100,383,1,32,10.95,350.4
536375,20101201,17850,3350,1,6,2.55,15.299999999999999
536375,20101201,17850,2426,1,6,3.39,20.34
536375,20101201,17850,3115,1,8,2.75,22.0
536375,20101201,17850,73,1,6,4.95,29.700000000000003
536375,20101201,17850,2370,1,6,1.06,6.36
536375,20101201,17850,769,1,6,1.06,6.36
536375,20101201,17850,270,1,6,1.06,6.36
536375,20101201,17850,267,1,6,1.06,6.36
536375,20101201,17850,2479,1,2,4.95,9.9
536375,20101201,17850,2481,1,4,6.95,27.8
