DateKey,Date,Year,Month,MonthName,Quarter,MonthYear
20101201,2010-12-01,2010,12,December,Q4,2010-12
20101202,2010-12-02,2010,12,December,Q4,2010-12
20101203,2010-12-03,2010,12,December,Q4,2010-12
20101204,2010-12-04,2010,12,December,Q4,2010-12
20101205,2010-12-05,2010,12,December,Q4,2010-12
20101206,2010-12-06,2010,12,December,Q4,2010-12
20101207,2010-12-07,2010,12,December,Q4,2010-12
20101208,2010-12-08,2010,12,December,Q4,2010-12
20101209,2010-12-09,2010,12,December,Q4,2010-12
20101210,2010-12-10,2010,12,December,Q4,2010-12
20101211,2010-12-11,2010,12,December,Q4,2010-12
20101212,2010-12-12,2010,12,December,Q4,2010-12
20101213,2010-12-13,2010,12,December,Q4,2010-12
20101214,2010-12-14,2010,12,December,Q4,2010-12
20101215,2010-12-15,2010,12,December,Q4,2010-12
20101216,2010-12-16,2010,12,December,Q4,2010-12
20101217,2010-12-17,2010,12,December,Q4,2010-12
20101218,2010-12-18,2010,12,December,Q4,2010-12
20101219,2010-12-19,2010,12,December,Q4,2010-12
20101220,2010-12-20,2010,12,December,Q4,2010-12
20101221,2010-12-21,2010,12,December,Q4,2010-12
20101222,2010-12-22,2010,12,December,Q4,2010-12
20101223,2010-12-23,2010,12,December,Q4,2010-12
20101224,2010-12-24,2010,12,December,Q4,2010-12
20101225,2010-12-25,2010,12,December,Q4,2010-12
20101226,2010-12-26,2010,12,December,Q4,2010-12
20101227,2010-12-27,2010,12,December,Q4,2010-12
20101228,2010-12-28,2010,12,December,Q4,2010-12
20101229,2010-12-29,2010,12,December,Q4,2010-12
20101230,2010-12-30,2010,12,December,Q4,2010-12
20101231,2010-12-31,2010,12,December,Q4,2010-12
20110101,2011-01-01,2011,1,January,Q1,2011-01
20110102,2011-01-02,2011,1,January,Q1,2011-01
20110103,2011-01-03,2011,1,January,Q1,2011-01
20110104,2011-01-04,2011,1,January,Q1,2011-01
20110105,2011-01-05,2011,1,January,Q1,2011-01
20110106,2011-01-06,2011,1,January,Q1,2011-01
20110107,2011-01-07,2011,1,January,Q1,2011-01
20110108,2011-01-08,2011,1,January,Q1,2011-01
20110109,2011-01-09,2011,1,January,Q1,2011-01
20110110,2011-01-10,2011,1,January,Q1,2011-01
20110111,2011-01-11,2011,1,January,Q1,2011-01
20110112,2011-01-12,2011,1,January,Q1,2011-01
20110113,2011-01-13,2011,1,January,Q1,2011-01
20110114,2011-01-14,2011,1,January,Q1,2011-01
20110115,2011-01-15,2011,1,January,Q1,2011-01
20110116,2011-01-16,2011,1,January,Q1,2011-01
20110117,2011-01-17,2011,1,January,Q1,2011-01
20110118,2011-01-18,2011,1,January,Q1,2011-01
20110119,2011-01-19,2011,1,January,Q1,2011-01
20110120,2011-01-20,2011,1,January,Q1,2011-01
20110121,2011-01-21,2011,1,January,Q1,2011-01
20110122,2011-01-22,2011,1,January,Q1,2011-01
20110123,2011-01-23,2011,1,January,Q1,2011-01
20110124,2011-01-24,2011,1,January,Q1,2011-01
20110125,2011-01-25,2011,1,January,Q1,2011-01
20110126,2011-01-26,2011,1,January,Q1,2011-01
20110127,2011-01-27,2011,1,January,Q1,2011-01
20110128,2011-01-28,2011,1,January,Q1,2011-01
20110129,2011-01-29,2011,1,January,Q1,2011-01
20110130,2011-01-30,2011,1,January,Q1,2011-01
20110131,2011-01-31,2011,1,January,Q1,2011-01
20110201,2011-02-01,2011,2,February,Q1,2011-02
20110202,2011-02-02,2011,2,February,Q1,2011-02
20110203,2011-02-03,2011,2,February,Q1,2011-02
20110204,2011-02-04,2011,2,February,Q1,2011-02
20110205,2011-02-05,2011,2,February,Q1,2011-02
20110206,2011-02-06,2011,2,February,Q1,2011-02
20110207,2011-02-07,2011,2,February,Q1,2011-02
20110208,2011-02-08,2011,2,February,Q1,2011-02
20110209,2011-02-09,2011,2,February,Q1,2011-02
20110210,2011-02-10,2011,2,February,Q1,2011-02
20110211,2011-02-11,2011,2,February,Q1,2011-02
20110212,2011-02-12,2011,2,February,Q1,2011-02
20110213,2011-02-13,2011,2,February,Q1,2011-02
20110214,2011-02-14,2011,2,February,Q1,2011-02
20110215,2011-02-15,2011,2,February,Q1,2011-02
20110216,2011-02-16,2011,2,February,Q1,2011-02
20110217,2011-02-17,2011,2,February,Q1,2011-02
20110218,2011-02-18,2011,2,February,Q1,2011-02
20110219,2011-02-19,2011,2,February,Q1,2011-02
20110220,2011-02-20,2011,2,February,Q1,2011-02
20110221,2011-02-21,2011,2,February,Q1,2011-02
20110222,2011-02-22,2011,2,February,Q1,2011-02
20110223,2011-02-23,2011,2,February,Q1,2011-02
20110224,2011-02-24,2011,2,February,Q1,2011-02
20110225,2011-02-25,2011,2,February,Q1,2011-02
20110226,2011-02-26,2011,2,February,Q1,2011-02
20110227,2011-02-27,2011,2,February,Q1,2011-02
20110228,2011-02-28,2011,2,February,Q1,2011-02
20110301,2011-03-01,2011,3,March,Q1,2011-03
20110302,2011-03-02,2011,3,March,Q1,2011-03
20110303,2011-03-03,2011,3,March,Q1,2011-03
20110304,2011-03-04,2011,3,March,Q1,2011-03
20110305,2011-03-05,2011,3,March,Q1,2011-03
20110306,2011-03-06,2011,3,March,Q1,2011-03
20110307,2011-03-07,2011,3,March,Q1,2011-03
20110308,2011-03-08,2011,3,March,Q1,2011-03
20110309,2011-03-09,2011,3,March,Q1,2011-03
20110310,2011-03-10,2011,3,March,Q1,2011-03
20110311,2011-03-11,2011,3,March,Q1,2011-03
20110312,2011-03-12,2011,3,March,Q1,2011-03
20110313,2011-03-13,2011,3,March,Q1,2011-03
20110314,2011-03-14,2011,3,March,Q1,2011-03
20110315,2011-03-15,2011,3,March,Q1,2011-03
20110316,2011-03-16,2011,3,March,Q1,2011-03
20110317,2011-03-17,2011,3,March,Q1,2011-03
20110318,2011-03-18,2011,3,March,Q1,2011-03
20110319,2011-03-19,2011,3,March,Q1,2011-03
20110320,2011-03-20,2011,3,March,Q1,2011-03
20110321,2011-03-21,2011,3,March,Q1,2011-03
20110322,2011-03-22,2011,3,March,Q1,2011-03
20110323,2011-03-23,2011,3,March,Q1,2011-03
20110324,2011-03-24,2011,3,March,Q1,2011-03
20110325,2011-03-25,2011,3,March,Q1,2011-03
20110326,2011-03-26,2011,3,March,Q1,2011-03
