InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Revenue,Date,Month,Year,Hour
536477,21137,BLACK RECORD COVER FRAME,480,2010-12-01 12:27:00,3.39,16210,United Kingdom,1627.2,2010-12-01,2010-12,2010,12
536584,84029E,RED WOOLLY HOTTIE WHITE HEART.,384,2010-12-01 16:22:00,2.95,13777,United Kingdom,1132.8000000000002,2010-12-01,2010-12,2010,16
536785,22423,REGENCY CAKESTAND 3 TIER,144,2010-12-02 15:22:00,10.95,15061,United Kingdom,1576.8,2010-12-02,2010-12,2010,15
536809,84950,ASSORTED COLOUR T-LIGHT HOLDER,1824,2010-12-02 16:48:00,0.55,15299,United Kingdom,1003.2,2010-12-02,2010-12,2010,16
536830,21915,RED  HARMONICA IN BOX ,1400,2010-12-02 17:38:00,1.06,16754,United Kingdom,1484.0,2010-12-02,2010-12,2010,17
536970,22423,REGENCY CAKESTAND 3 TIER,120,2010-12-03 13:12:00,10.95,17949,United Kingdom,1314.0,2010-12-03,2010-12,2010,13
537235,22622,BOX OF VINTAGE ALPHABET BLOCKS,156,2010-12-06 09:45:00,8.5,17381,United Kingdom,1326.0,2010-12-06,2010-12,2010,9
537256,21137,BLACK RECORD COVER FRAME,480,2010-12-06 11:06:00,3.39,16210,United Kingdom,1627.2,2010-12-06,2010-12,2010,11
537456,22470,HEART OF WICKER LARGE,378,2010-12-07 09:43:00,3.21,17450,United Kingdom,1213.3799999999999,2010-12-07,2010-12,2010,9
537657,82484,WOOD BLACK BOARD ANT WHITE FINISH,408,2010-12-07 16:42:00,4.78,18102,United Kingdom,1950.24,2010-12-07,2010-12,2010,16
537657,22189,CREAM HEART CARD HOLDER,972,2010-12-07 16:42:00,2.31,18102,United Kingdom,2245.32,2010-12-07,2010-12,2010,16
537657,22188,BLACK HEART CARD HOLDER,972,2010-12-07 16:42:00,2.31,18102,United Kingdom,2245.32,2010-12-07,2010-12,2010,16
537657,21623,VINTAGE UNION JACK MEMOBOARD,408,2010-12-07 16:42:00,6.38,18102,United Kingdom,2603.04,2010-12-07,2010-12,2010,16
537659,22189,CREAM HEART CARD HOLDER,1008,2010-12-07 16:43:00,2.31,18102,United Kingdom,2328.48,2010-12-07,2010-12,2010,16
537659,22188,BLACK HEART CARD HOLDER,1008,2010-12-07 16:43:00,2.31,18102,United Kingdom,2328.48,2010-12-07,2010-12,2010,16
537659,21623,VINTAGE UNION JACK MEMOBOARD,600,2010-12-07 16:43:00,6.38,18102,United Kingdom,3828.0,2010-12-07,2010-12,2010,16
537659,82484,WOOD BLACK BOARD ANT WHITE FINISH,600,2010-12-07 16:43:00,4.78,18102,United Kingdom,2868.0,2010-12-07,2010-12,2010,16
537659,22833,HALL CABINET WITH 3 DRAWERS,72,2010-12-07 16:43:00,32.69,18102,United Kingdom,2353.68,2010-12-07,2010-12,2010,16
537899,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,1488,2010-12-09 10:44:00,2.55,12755,Japan,3794.3999999999996,2010-12-09,2010-12,2010,10
538063,22830,UTILTY CABINET WITH HOOKS,96,2010-12-09 13:44:00,19.94,18102,United Kingdom,1914.2400000000002,2010-12-09,2010-12,2010,13
538191,22423,REGENCY CAKESTAND 3 TIER,272,2010-12-10 10:49:00,10.95,15061,United Kingdom,2978.3999999999996,2010-12-10,2010-12,2010,10
538848,85232B,SET OF 3 BABUSHKA STACKING TINS,240,2010-12-14 13:28:00,4.95,17404,Sweden,1188.0,2010-12-14,2010-12,2010,13
538998,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,480,2010-12-15 12:08:00,1.88,15061,United Kingdom,902.4,2010-12-15,2010-12,2010,12
